,n_component,clustering,dim_reduction,data_type,acc,score,entropy
0,8,kmeans,pca,1,0.635511933972786,0.196549155390377,10.048918861362411
1,8,kmeans,pca,2,0.45862145884452377,0.21849775314331055,10.312442685172611
2,8,kmeans,pca,3,0.233102832924381,0.08543527871370316,10.992914916086649
3,8,kmeans,pca,4,0.3803256747713585,0.12301324307918549,10.407942054327783
4,8,kmeans,umap,1,0.6609413339281731,0.3595115840435028,9.877200057864776
5,8,kmeans,umap,2,0.4795895605621236,0.45176228880882263,10.247338529634686
6,8,kmeans,umap,3,0.23488735221949586,0.12468340247869492,10.756611237608928
7,8,kmeans,umap,4,0.39192505018960516,0.2655305564403534,10.110557465739737
8,8,louvain,pca,1,0.620566584876199,0.1543543687966558,10.216569305002242
9,8,louvain,pca,2,0.4396609413339282,0.21240493655204773,10.555985823472884
10,8,louvain,pca,3,0.22975685924604058,0.03324352949857712,11.331488879650221
11,8,louvain,pca,4,0.3644880660272139,0.08797887712717056,10.64535965529541
12,8,louvain,umap,1,0.6874860584430069,0.32523587346076965,9.627404662986795
13,8,louvain,umap,2,0.4778050412670087,0.42718708515167236,10.000437065798042
14,8,louvain,umap,3,0.24648672763774257,0.06480722874403,10.582681300110753
15,8,louvain,umap,4,0.381887129154584,0.20193621516227722,10.417160830718705
16,16,kmeans,pca,1,0.6390809725630159,0.15784384443449703,9.979003097712084
17,16,kmeans,pca,2,0.4673209904082088,0.18841156363487244,10.305314582669654
18,16,kmeans,pca,3,0.2324336381887129,0.04329502210021019,10.969524830844941
19,16,kmeans,pca,4,0.3861253624804818,0.08942177891731262,10.054745006340404
20,16,kmeans,umap,1,0.6625027883113986,0.36057770252227783,9.875545656557296
21,16,kmeans,umap,2,0.47200535355788537,0.49264049530029297,10.23578437419961
22,16,kmeans,umap,3,0.23734106625027884,0.09871058166027069,10.622869266900798
23,16,kmeans,umap,4,0.39326343966094135,0.2610740661621094,10.114064201717527
24,16,louvain,pca,1,0.6268124024091011,0.1363718795191712,10.097072978037382
25,16,louvain,pca,2,0.4356457729199197,0.18923823535442352,10.480211464617444
26,16,louvain,pca,3,0.23042605398170868,0.005621791817247868,11.154272459112935
27,16,louvain,pca,4,0.37653357126923936,0.07399383187294006,10.4825825230505
28,16,louvain,umap,1,0.6834708900289984,0.3290922939777374,9.598536020545499
29,16,louvain,umap,2,0.47423600267677896,0.3718976378440857,10.230699790959083
30,16,louvain,umap,3,0.24559446799018514,0.06396041065454483,10.819810921021254
31,16,louvain,umap,4,0.38255632389025207,0.19927623867988586,10.445505539868236
32,32,kmeans,pca,1,0.6457729199196967,0.12733522591922783,9.976765203469332
33,32,kmeans,pca,2,0.46709792549631945,0.15389417111873627,10.216263002171619
34,32,kmeans,pca,3,0.2342181574838278,0.0228477381169796,10.872937884663802
35,32,kmeans,pca,4,0.3856792326567031,0.06996337324380875,9.880133373996859
36,32,kmeans,umap,1,0.6705331251394155,0.36111000180244446,9.748326451915243
37,32,kmeans,umap,2,0.47758197635511934,0.4910568296909332,10.227440835086549
38,32,kmeans,umap,3,0.2368949364265001,0.0902453288435936,10.76205327911164
39,32,kmeans,umap,4,0.3901405308944903,0.2660137712955475,10.045222520409997
40,32,louvain,pca,1,0.6435422708008031,0.1115208349599003,10.016147739262843
41,32,louvain,pca,2,0.45817532902074504,0.15728925168514252,10.218351129416739
42,32,louvain,pca,3,0.23332589783627036,0.0006380343111231923,11.145220106675415
43,32,louvain,pca,4,0.3769797010930181,0.06250420957803726,10.619681058620213
44,32,louvain,umap,1,0.693062681240241,0.31417614221572876,9.612200851129945
45,32,louvain,umap,2,0.48761989739014056,0.39197298884391785,10.03229392870378
46,32,louvain,umap,3,0.2500557662279723,0.06228603050112724,10.73156058909614
47,32,louvain,umap,4,0.3812179344189159,0.20324236154556274,10.316308287952443
48,64,kmeans,pca,1,0.6511264778050413,0.10652124433953253,9.846414226011282
49,64,kmeans,pca,2,0.46910550970332365,0.1281101107597351,10.218230229629055
50,64,kmeans,pca,3,0.233102832924381,0.012342385947704315,11.063473124803368
51,64,kmeans,pca,4,0.3856792326567031,0.057152751833200455,9.962659594647185
52,64,kmeans,umap,1,0.6654026321659603,0.37019795179367065,9.860713782233113
53,64,kmeans,umap,2,0.4800356903859023,0.4780144989490509,10.23452464073297
54,64,kmeans,umap,3,0.23332589783627036,0.08830279111862183,10.603700136864953
55,64,kmeans,umap,4,0.39259424492527323,0.2630543112754822,10.11826785205903
56,64,louvain,pca,1,0.6560339058666071,0.10437770549613888,10.027132352169177
57,64,louvain,pca,2,0.47044389917465984,0.14114955067634583,10.202042788590475
58,64,louvain,pca,3,0.2302029890698193,-0.009491397999227047,11.211245676213277
59,64,louvain,pca,4,0.37854115547624356,0.06202557310461998,10.47022936879892
60,64,louvain,umap,1,0.693062681240241,0.32075196504592896,9.569330177123897
61,64,louvain,umap,2,0.482935534240464,0.3916604220867157,10.115448924458398
62,64,louvain,umap,3,0.24626366272585323,0.05304636061191559,10.492065838016833
63,64,louvain,umap,4,0.387463751951818,0.21255891025066376,10.170470972570465
64,128,kmeans,pca,1,0.6484496988623689,0.09796058095181755,9.99055277086418
65,128,kmeans,pca,2,0.466205665848762,0.11216912418603897,10.212317581553776
66,128,kmeans,pca,3,0.22774927503903636,0.006783974356949329,10.85604066088035
67,128,kmeans,pca,4,0.385010037921035,0.050624556839466095,10.07087910496976
68,128,kmeans,umap,1,0.6720945795226411,0.36338698863983154,9.75677279699341
69,128,kmeans,umap,2,0.4744590675886683,0.47481170296669006,10.24083703716974
70,128,kmeans,umap,3,0.23778719607405754,0.0880669355392456,10.865475825577745
71,128,kmeans,umap,4,0.39036359580637964,0.26347842812538147,10.160330418421513
72,128,louvain,pca,1,0.6604952041043943,0.08435644996332062,9.921622888597042
73,128,louvain,pca,2,0.471782288645996,0.13041551411151886,10.208908332898643
74,128,louvain,pca,3,0.23287976801249163,-0.005925588775426149,10.983505715213889
75,128,louvain,pca,4,0.3622574169083203,0.040694791823625565,10.369825659464734
76,128,louvain,umap,1,0.6785634619674326,0.314037561416626,9.625757583346191
77,128,louvain,umap,2,0.48472005353557884,0.3834543526172638,10.132016165405627
78,128,louvain,umap,3,0.24492527325451707,0.05790215730667114,10.817058612128777
79,128,louvain,umap,4,0.3845639080972563,0.19668036699295044,10.40505829609853
